bbbbbbbb,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
111,AGR-Crop Production
112,AGR-Animal Production And Aquaculture
1133,AGR-Logging
113M,AGR-Forestry Except Logging
114,"AGR-Fishing, Hunting, And Trapping"
115,AGR-Support Activities For Agriculture And Forestry
211,EXT-Oil And Gas Extraction
2121,EXT-Coal Mining
2122,EXT-Metal Ore Mining
2123,EXT-Nonmetallic Mineral Mining And Quarrying
213,EXT-Support Activities For Mining
2211P,"UTL-Electric Power Generation, Transmission And Distribution"
2212P,UTL-Natural Gas Distribution
22132,UTL-Sewage Treatment Facilities
2213M,"UTL-Water, Steam, Air Conditioning, And Irrigation Systems"
221MP,"UTL-Electric And Gas, And Other Combinations"
22s,UTL-Not Specified Utilities
23,"CON-Construction, (The Cleaning Of Buildings And Dwellings Is Incidental During Construction And Immediately After Construction)"
3113,MFG-Sugar And Confectionery Products
3114,MFG-Fruit And Vegetable Preserving And Specialty Foods
3115,MFG-Dairy Products
3116,MFG-Animal Slaughtering And Processing
311811,MFG-Retail Bakeries
3118Z,"MFG-Bakeries And Tortilla, Except Retail Bakeries"
311M1,"MFG-Animal Food, Grain And Oilseed Milling"
311M2,"MFG-Seafood And Other Miscellaneous Foods, N.E.C."
311S,MFG-Not Specified Food Industries
3121,MFG-Beverage
3122,MFG-Tobacco
3131,"MFG-Fiber, Yarn, And Thread Mills"
3132Z,"MFG-Fabric Mills, Except Knitting"
3133,MFG-Textile And Fabric Finishing And Fabric Coating Mills
31411,MFG-Carpet And Rug Mills
314Z,"MFG-Textile Product Mills, Except Carpet And Rug"
3152,MFG-Cut And Sew Apparel
3159,MFG-Apparel Accessories And Other Apparel
3162,MFG-Footwear
316M,MFG-Leather Tanning And Finishing And Other Allied Products Manufacturing
31M,"MFG-Knitting Fabric Mills, And Apparel Knitting Mills"
3211,MFG-Sawmills And Wood Preservation
3212,"MFG-Veneer, Plywood, And Engineered Wood Products"
32199M,MFG-Prefabricated Wood Buildings And Mobile Homes
3219ZM,MFG-Miscellaneous Wood Products
3221,"MFG-Pulp, Paper, And Paperboard Mills"
32221,MFG-Paperboard Container
3222M,MFG-Miscellaneous Paper And Pulp Products
3231,MFG-Printing And Related Support Activities
3241M,MFG-Miscellaneous Petroleum And Coal Products
32411,MFG-Petroleum Refining
3252,"MFG-Resin, Synthetic Rubber, And Fibers And Filaments"
3253,MFG-Agricultural Chemicals
3254,MFG-Pharmaceuticals And Medicines
3255,"MFG-Paint, Coating, And Adhesives"
3256,"MFG-Soap, Cleaning Compound, And Cosmetics"
325M,MFG-Industrial And Miscellaneous Chemicals
3261,MFG-Plastics Products
32621,MFG-Tires
3262M,"MFG-Rubber Products, Except Tires"
32711,"MFG-Pottery, Ceramics, And Plumbing Fixture Manufacturing"
327120,MFG-Clay Building Material And Refractories
3272,MFG-Glass And Glass Products
3279,MFG-Miscellaneous Nonmetallic Mineral Products
327M,"MFG-Cement, Concrete, Lime, And Gypsum Products"
3313,MFG-Aluminum Production And Processing
3314,"MFG-Nonferrous Metal, Except Aluminum, Production And Processing"
3315,MFG-Foundries
331M,MFG-Iron And Steel Mills And Steel Products
3321,MFG-Metal Forgings And Stampings
3322,MFG-Cutlery And Hand Tools
3327,"MFG-Machine Shops; Turned Products; Screws, Nuts And Bolts"
3328,"MFG-Coating, Engraving, Heat Treating And Allied Activities"
33299M,MFG-Ordnance
332M,"MFG-Structural Metals, And Boiler, Tank, And Shipping Containers"
332MZ,MFG-Miscellaneous Fabricated Metal Products
33311,MFG-Agricultural Implements
3331M,"MFG-Construction, And Mining And Oil And Gas Field Machinery"
3333,MFG-Commercial And Service Industry Machinery
3335,MFG-Metalworking Machinery
3336,"MFG-Engine, Turbine, And Power Transmission Equipment"
333MS,"MFG-Machinery Manufacturing, N.E.C. Or Not Specified"
3341,MFG-Computer And Peripheral Equipment
3345,"MFG-Navigational, Measuring, Electromedical, And Control Instruments"
334M1,"MFG-Communications, And Audio And Video Equipment"
334M2,"MFG-Electronic Components And Products, N.E.C."
3352,MFG-Household Appliances
335M,"MFG-Electric Lighting, And Electrical Equipment Manufacturing, And Other Electrical Component Manufacturing, N.E.C."
33641M1,MFG-Aircraft And Parts
33641M2,MFG-Aerospace Products And Parts
3365,MFG-Railroad Rolling Stock
3366,MFG-Ship And Boat Building
3369,MFG-Other Transportation Equipment
336M,MFG-Motor Vehicles And Motor Vehicle Equipment
337,MFG-Furniture And Related Products
3391,MFG-Medical Equipment And Supplies
3399M,"MFG-Sporting And Athletic Goods, And Doll, Toy, And Game Manufacturing"
3399ZM,"MFG-Miscellaneous Manufacturing, N.E.C."
33MS,MFG-Not Specified Metal Industries
3MS,MFG-Not Specified Industries
4231,WHL-Motor Vehicles And Motor Vehicle Parts And Supplies Merchant Wholesalers
4232,WHL-Furniture And Home Furnishing Merchant Wholesalers
4233,WHL-Lumber And Other Construction Materials Merchant Wholesalers
4234,WHL-Professional And Commercial Equipment And Supplies Merchant Wholesalers
4235,"WHL-Metals And Minerals, Except Petroleum, Merchant Wholesalers"
4236,WHL-Household Appliances And Electrical And Electronic Goods Merchant Wholesalers
4237,"WHL-Hardware, And Plumbing And Heating Equipment, And Supplies Merchant Wholesalers"
4238,"WHL-Machinery, Equipment, And Supplies Merchant Wholesalers"
42393,WHL-Recyclable Material Merchant Wholesalers
4239Z,WHL-Miscellaneous Durable Goods Merchant Wholesalers
4241,WHL-Paper And Paper Products Merchant Wholesalers
4243,"WHL-Apparel, Piece Goods, And Notions Merchant Wholesalers"
4244,WHL-Grocery And Related Product Merchant Wholesalers
4245,WHL-Farm Product Raw Material Merchant Wholesalers
4247,WHL-Petroleum And Petroleum Products Merchant Wholesalers
4248,WHL-Alcoholic Beverages Merchant Wholesalers
42491,WHL-Farm Supplies Merchant Wholesalers
4249Z,WHL-Miscellaneous Nondurable Goods Merchant Wholesalers
424M,"WHL-Drugs, Sundries, And Chemical And Allied Products Merchant Wholesalers"
4251,WHL-Wholesale Electronic Markets And Agents And Brokers
42S,WHL-Not Specified Wholesale Trade
4411,RET-Automobile Dealers
4412,RET-Other Motor Vehicle Dealers
4413,"RET-Automotive Parts, Accessories, And Tire Stores"
442,RET-Furniture And Home Furnishings Stores
443141,RET-Household Appliance Stores
443142,RET-Electronics Stores
44413,RET-Hardware Stores
4441Z,RET-Building Material And Supplies Dealers
4442,RET-Lawn And Garden Equipment And Supplies Stores
4451,RET-Grocery Stores
4452,RET-Specialty Food Stores
4453,"RET-Beer, Wine, And Liquor Stores"
44611,RET-Pharmacies And Drug Stores
446Z,"RET-Health And Personal Care, Except Drug, Stores"
447,RET-Gasoline Stations
44821,RET-Shoe Stores
4483,"RET-Jewelry, Luggage, And Leather Goods Stores"
4481,RET-Clothing Stores
45113,"RET-Sewing, Needlework, And Piece Goods Stores"
45114,RET-Musical Instrument And Supplies Stores
4511M,"RET-Sporting Goods, And Hobby And Toy Stores"
45121,RET-Book Stores And News Dealers
45211,RET-Department And Discount Stores
4529,RET-Miscellaneous General Merchandise Stores
4531,RET-Florists
45321,RET-Office Supplies And Stationery Stores
45322,"RET-Gift, Novelty, And Souvenir Shops"
4533,RET-Used Merchandise Stores
4539,RET-Miscellaneous Retail Stores
454111,RET-Electronic Shopping
454112,RET-Electronic Auctions
454113,RET-Mail-Order Houses
4542,RET-Vending Machine Operators
454310,RET-Fuel Dealers
45439,RET-Other Direct Selling Establishments
4MS,RET-Not Specified Retail Trade
481,TRN-Air Transportation
482,TRN-Rail Transportation
483,TRN-Water Transportation
484,TRN-Truck Transportation
4853,TRN-Taxi And Limousine Service
485M,TRN-Bus Service And Urban Transit
486,TRN-Pipeline Transportation
487,TRN-Scenic And Sightseeing Transportation
488,TRN-Services Incidental To Transportation
491,TRN-Postal Service
492,TRN-Couriers And Messengers
493,TRN-Warehousing And Storage
51111,INF-Newspaper Publishers
5111Z,"INF-Periodical, Book, And Directory Publishers"
5112,INF-Software Publishers
5121,INF-Motion Picture And Video Industries
5122,INF-Sound Recording Industries
515,"INF-Broadcasting, Except Internet"
